,description,price
40022,"From one of Montalcino's historic estates, Camigliano's Brunello opens with attractive darkness and a smooth texture. Dark fruit, tobacco and espresso aromas emerge from the nose and the wine feels bright, polished and silky overall.",50.0
40030,"Brunello Vigna Manapetra shows soft roundness and ripe aromas of cherry, blackberry, sweet spice and barbecue smoke. It feels tight, firm and well integrated in the mouth and shows very nice acidity on the close, which is fresh without being sharp.",50.0
40032,"Argiano offers an elegant aromatic combination of red fruit, spicy barbecue and polished mineral. This unique expression delivers a toned, streamlined mouthfeel that will not overwhelm the pasta or meat dishes it is paired with.",65.0
40035,"La Fornace offers the kind of Brunello that will make you wish you bought a second bottle. It opens with a bright and cheerful bouquet shaped by various shadings of black fruit and exotic spice. In the mouth, it is still tight and firm so give it a few more years of bottle aging.",
40037,"This fruit-forward wine opens with bursting notes of cherry, blackberry, vanilla, almond paste, cola and delicate touches of resin or wet river stone. It's an impressive achievement that straddles a fine line between modernity and tradition.",55.0
40042,"Thanks to the impressive complexity here, you can easily attribute a long list of adjective to describe the nose of this elegant Brunello. Cherry, cassis, church incense, lavender and dried violets all come to mind. Tight tannins and a touch of astringency will soften with more time in the bottle.",70.0
40044,"La Poderina's Brunello shows impressive balance between its bright fruit and sassy spice components. On the close, the wine exhibits a tight, firm and penetrating feel that is carried forth by acidity and the natural firmness of the tannins.",
40353,"Talenti delivers a very impressive Brunello with inky-dark concentration and background layers of coffee, espresso, fudge and maraschino cherry. Give it more time to age so that those sharp points of firmness can soften and widen.",
40356,"This is a direct and pungent Brunello with an intense, vertical lift and a steady delivery of fruit, spice and smoke aromas. It opens with dried raspberry, cassis, clove and pipe tobacco followed by fine tannins and persistency.",120.0
40357,"Campogiovanni is a rich, inky expression of Sangiovese Grosso with beautiful personality and length. The mouthfeel is still young and raw but the aromas already show deep evolution and harmony. You'll recognize tones of red cherry, root beer, mesquite and Indian spice.",50.0
40358,"Austere and sophisticated with penetrating layers of Indian spice, dark fruit and cured meat, Mastojanni delivers the kind of Brunello you'll want to pair with the best cuts of lamb or beef. This is an elegant and linear wine and the dark fruit element adds softness to the overall texture.",70.0
40363,"Vigna Pianrosso is a vineyard-designate Brunello that opens with warming notes of spice, cardamom, ginger and rhubarb. The wine delivers a very smooth and creamy texture in the mouth.",70.0
40364,"Nicely integrated aromas of black fruit, cured meat, pressed rose petal and cherry shape a full-bodied, luscious expression of Brunello. The wine is streamlined, crisp and elegant in the mouth.",45.0
40367,"Soft vanilla and marzipan aromas are enhanced by blueberry and sweet tobacco. This beautiful Brunello shows a fine, polished texture with background cinnamon and exotic spice.",41.0
40368,"This dark Brunello by Ferrero offers a nice ensemble of mineral and graphite notes followed by mature berry fruit and smooth, rich extraction. Dark spice and toasted almond pick up the rear.",40.0
40369,"This dark garnet colored Brunello opens with straightforward and uncomplicated aromas of wild berry, spice and leather. This wine also shows a high level of confidence that is seen in its firm tannins, crisp acidity and rich aftertaste of clove and black fruit.",65.0
40374,"There's a smoky, meaty quality here with mature fruit, cola, mesquite and cured meat nuances in the background. La Colombina boasts impressive intensity and lingering spice flavors.",42.0
40376,"Here's an inky, garnet-colored Brunello that opens with lavish aromas of mature berry, moist earth, dried rose and cured meat. In fact, that distinctive note of bresaola or smoked ham is one of its most interesting qualities. The mouthfeel is thick and penetrating and the tannins are dense but smooth.",
40377,"Ugolforte Brunello opens with perfumed aromas of blue flower, wild berries, white cherry, cinnamon, vanilla and a slight hint of toasted coconut. In fact, those oak-driven aromas could use more time to integrate. The mouthfeel, however, is more evolved at this stage with bright acidity and a spicy aftertaste.",60.0
40622,"Gorgeous on all fronts save for a tiny touch of rawness on the nose. Aromas include fresh cedar wood, incense and crème de cassis syrup. The wine is determined and powerful in terms of alcohol and delivers long, rich intensity to match.",70.0
40623,"Ferrero Brunello Riserva opens with sweet, soft tones of milk chocolate and ripe berry with shades of leather and exotic spice on the fade. The wine's soft, plush mouthfeel will match succulent cuts of grilled steak.",80.0
40629,"A tight, compact and streamlined interpretation, this Riserva Brunello offers clean cherry aromas backed by slight renderings of tobacco and fine leather. The wine shows medium extraction and density with good intensity.",90.0
40630,"This elegant Brunello opens with a ruby-garnet color and offers enticing aromas of mature berry fruit, cedar, and a touch of cola or tar. There's a smoky, mineral note in the mouth and although the texture it not too dense, it delivers a soft, sophisticated edge.",55.0
40647,"Bellezza is indeed a beautiful expression of Sangiovese (aged in oak) that peels back layer after layer with cherry, spice, leather and tobacco aromas. The fruit-driven finish is long, smooth and satisfying.",35.0
40845,"Canneta presents a thin, ruby-colored Rosso with immediate aromas of raspberry, red apple, tobacco and spice. The wine is bright and streamlined on the finish with a prickly acidic endnote.",
40922,"This ruby-colored Brunello opens with bright cherry nuances and loads of toasted almond and cinnamon spice. From the lower, southern side of Montalcino, this interpretation focuses on quality fruit aromas, crispness and a sense of clean linearity.",55.0
40925,"Here's an interesting Brunello that recalls moist notes of forest floor and white mushroom, backed by cherry and wild berry. The wine opens with dense concentration and a dark ruby color. It ends with a long, polished feel.",65.0
40927,"La Collina dei Lecci offers a clean but compact Riserva Brunello with bright bursts of white cherry and forest berry followed by light accents of smoke and spice. With medium intensity and structure, this food-friendly alternative would match risotto or pasta.",55.0
40930,"Here's a bright, buoyant style of Brunello that drinks easily but also delivers the sophistication and complexity you should expect of Montalcino. It opens with crisp, tonic aromas of cassis and wild berry with very subtle aromas of vanilla and toasted nut at the back.",55.0
40937,"With a slight hint of orange coloring at the rim, this beautiful Brunello delivers impressive concentration and aromatic intensity. There are evident oak tones of vanilla and spice that already showing signs of smooth integration. It offers sophisticated fruit and cherry flavors on the long fade.",60.0
40940,"Here's a dark, hearty Brunello that will appeal to those who love a thickly structured wine to pair with grilled sirloin or tri-tip. There's a natural thickness or succulence here followed by firm tannins, bright acidity, mesquite and loads of black cherry.",
40943,"This is a very smooth and polished wine with good density, length and a squeaky-clean feel on the palate. The wine's texture is fine and smooth with buoyant aromas of wild berry, forest floor and root beer that keep the intensity alive.",50.0
40945,"Bright, clean and linear with pretty accents of spice, blackberry, leather and lingering tobacco, Villa al Cortile Riserva is the kind of wine you'll want to pair with a hearty meat dinner. The wine shows velvety, soft texture in the mouth.",60.0
41149,This Rosso shows awkward aromas of almond paste and lemon zest on top of characteristic layers of wild berry and spice. It's light and lean on the palate with crisp fruit flavors on the close.,
41191,"Brunello Cantine Leonardo opens with loads of cinnamon and nutmeg with background tones of clove, earth, pressed violet and syrupy cassis. The wine closes with a long, spicy fade and a balanced touch of cleansing acidity.",60.0
41196,"This is a syrupy, rich, meaty wine that opens with impressive intensity and extraction. It's a bruiser and a pleaser that delivers aromas of cherry liqueur, blackberry jam and exotic spice. It's also a masculine, opulent wine that could use a few more years of cellar aging.",50.0
41202,"Here's a textbook Brunello Riserva with dark berry fruit, spice and bright touches of cola and smoke. The wine overall is smooth, rich and plays its cards well.",80.0
41205,"Still young and nervous, this wine needs a few more years of cellar aging. There's great potential here thanks to the wine's natural aromas of cassis, dried fruit, cherry and toasted nut. In the mouth, it is tart, crisp and long-lasting.",55.0
41209,"Meaty aromas of smoked bacon and bresaola appear at first but softer aromas of chocolate, mocha and nutmeg slowly mature as the wine evolves in the glass. There's a slight touch of cherry sweetness in the mouth and the fade is both juicy and persistent.",
41210,"This is a nicely balanced wine with bright cherry and berry flavors that are offset by sweet spice, almond and toasted oak. The wood elements already show integration and will continue to diminish with time. Give this wine five or so more years of cellar aging.",68.0
41211,"Brunello Prime Donne (made by an all-female winemaking team) opens with loads of ripe fruit and overtones of strawberry, blackberry and exotic spice. The wine is beautifully soft and smooth in the mouth with rich, dark extraction.",80.0
41213,"There's a tight, sharp element here with defined tones of bramble and wild fruit. Later, as the wine sits in the glass, this lively Brunello Riserva opens to generous tones of soft vanilla, leather and spice.",
41491,"This Brunello is characterized by dark, dense extraction that seems packed tight with black cherry, pressed rose, spice, root beer and toasted nut. The wine feels full and opulent on the close but fresh acidity stops it from being heavy or chewy.",
41493,"This vineyard-designate Brunello opens with ripe tones of prune, thick blackberry fruit and lingering but subdued Indian spice. This is not an overblown or overly intense wine. Instead, the focus is on elegance and longevity.",45.0
41496,"This bright Brunello is accented by a few sharp points of acidity that will soften with more years of bottle aging. On the nose, the wine shows layers of wild berry, bramble, white mushroom, moist earth and pressed violets.",45.0
41507,"This classic Brunello is slightly more closed aromatically and subdued at first, but opens to deep layers of berry fruit and exotic spice as the wine stays in the glass. Elegant flavors of almond and cassis appear as pretty accents on the long fade.",42.0
41509,"This bright Brunello is accented by generous tones of clove, spice and dark berry fruit. The mouthfeel is rich but also lively at the same time and overall this wine would make a great companion to lamb or grilled steak.",46.0
41514,"Refined and elegant, you could easily characterize this as a feminine expression of Brunello. It is redolent of forest fruit, white chocolate, dried violets, resin, tar and a touch of smoked bacon. In the mouth, it shows a sharp, fine quality that is enhanced by natural freshness.",60.0
41562,"The 2010 vintage is hailed as one of the best ever for the hilltop hamlet of Montalcino. This has touches of worn leather and animal fur, backed by bright notes of cherry and blackberry.",20.0
41855,"Le Bruciate Riserva offers bright aromatic nuances of cola, root beer and a touch of shaved ginger backed by loads of black fruit and smooth spice. The wine shows great personality and persistency.",48.0
41857,"This Brunello shows very nice balance with sweet aromas of cherry, bright fruit, almond paste and Christmas spice. The wine plays the elegance card well with a mouthfeel that is tight and buoyant without being chewy or heavy.",50.0
41864,"Not overblown or exaggerated, this tight and carefully balanced Brunello strikes a chord between power and elegance. At its essence are aromas of red fruit, forest berry, cola, mesquite and cedar wood.",50.0
41868,"La Fiorita's Brunello opens with some barrel aromas of toast and smoke that need time to blow off. Once they do, however, you will be pleasantly surprised by the wine's fruity aromas of mature cherry and strawberry.",55.0
41870,"Aromas of smoky cigar, toasted note and black cherry open the bouquet of this bright expression from Montalcino. The wine shows good density and a tonic, crisp feel on the close.",60.0
41873,"Jammy, mature notes of dark cherry and blackberry preserves open the nose of this richly opulent Brunello. Background tones include polished mineral and sweet Christmas spice with lingering accents of black pepper and crushed clove.",67.0
41874,"Tornesi's Brunello is packed with sharp red fruit, bright cherry and raspberry. Touches of white mushroom and natural rubber render an earthy, elegant feel and the wine ends with clean, polished tannins.",54.0
41875,"Rich with meaty tones of smoked bacon and leather backed by forest floor and bright cherry, this Brunello Riserva shows textbook Sangiovese Grosso qualities. On the palate, it delivers firm, textured tannins and bright acidity.",
41877,"Padelletti's Brunello needs a bit more time in the cellar to find harmony. The milk chocolate and creamy almond notes present now will soften to become more polished and elegant. Same goes for the tight, young tannins the characterize the close. Drink after 2015.",60.0
41878,"This elegant Brunello shows loads of Montalcino typicity thanks to its aromas of cherry, forest floor, moist earth, dried violets and white almond. It delivers a tight, streamlined feel that is driven forward by the wine's polished tannins and bright acidity.",50.0
41879,"This Brunello speaks highly of Montalcino wine tradition. A fresh, crisp element is backed by aromas of cassis, bramble and bitter berry. There's a tightness in the mouth as well that needs more time to soften.",45.0
42087,"There's an overripe or jammy element to this Rosso that resembles blackberry preserves, smoked ham and moist tobacco. The wine tastes sweet and sticky in the mouth and leaves the palate covered with strawberry-like flavors.",
42134,"Piccini's Brunello Villa al Cortile is an interesting wine with its own unique personality. It offers distinct aromas of mesquite, cedar and pine forest followed by rounder tones of plum and rum cake. The more immediate approach means it's almost ready to drink now.",45.0
42146,"Poggio Rubino's 2006 Brunello needs a few more years of cellar aging. The wine opens with bright aromas of red cherry, blueberry preserves, wild mushroom, blue flowers, rum cake and savory spice.",
42426,"Donatella Cinelli Colombini regularly brings us very soft, rich and velvety expressions of Brunello. This vintage, however, is more austere, reserved and seems to need more time to open and breathe in the glass. As it does, it reveals layers of cherry, almond paste, smoke, vanilla and powdered chocolate.",70.0
42430,"Altesino's Brunello is characterized by fine tannins, good acidity and aromas of white cherry, forest floor and bramble. The wine seems less intense than past vintages and there's a slightly browning edge to its color.",75.0
42434,"The evident oak element in this hearty Brunello needs time to integrate because the spice, toasted nut, clove and crushed peppercorn aromas are still strong. But the mouthfeel is soft, plush and shows great potential.",65.0
42436,"Thick and penetrating with dense aromas of cola, black fruit, forest floor and spice, Tiezzi brings us a confident and classy expression from Montalcino. There's a playful note of sweet succulence on the close.",40.0
42441,"Buoyant cola and root beer aromas frame solid aromas of almond paste and wild berry. This Brunello shows a smooth, rich mouthfeel with tight, compact tannins on the close.",80.0
42442,"Brunello Terra Rossa opens with aromas of chocolate, spice and dark cherry that need a few minutes in the glass before they fully emerge. There's a thorny, brambly note at the back that is underlined by the natural acidity present in Sangiovese Grosso.",62.0
42445,"This shapely, opulent Brunello delivers soft texture and rich intensity that is highlighted by crisp aromas of sweet cherry, spice and dark vanilla bean. That soft roundness continues to the palate where the wine exhibits a smooth, velvety texture.",
42446,"Carob, sour cherry, bramble, leafy greens and exotic spice are some of the eclectic aromatic components of this wine's bright bouquet. The more you sniff, the more you get pipe tobacco, forest fruit and blackberry. The mouthfeel is firm, tonic and compact.",80.0
42727,"Lively and approachable with vinous tones of cherry, raspberry and cola, Col di Lamo delivers a bright, food-friendly Brunello. There's also a very attractive touch of chopped mint or eucalyptus on the close.",65.0
42728,"Here's an easy, smooth wine that would pair with meat or oven-roasted pasta. Collelceto's Brunello is marked by elegance, bright acidity and lingering tones of wild berry, spice, tobacco and delicately dried herbs or licorice.",44.0
42732,"This opens with earthy tones and traditional Sangiovese Grosso aromas of white mushroom, wild berry, violet, cola, toasted almond, resin and tar. It feels tight, compact and polished overall.",
42733,"This pretty Brunello peels back layer after layer to reveal tones of dried cherry, toasted almond, sweet berry, white pepper and cola. It delivers a bright, tart taste in the mouth with a blast of white cherry fruit at the end.",90.0
42734,"Sometimes, you discover one of those rare Brunellos that offers a really sweet-smelling bouquet followed by a drying mouthfeel. This is one of those wines. The bouquet is characterized by Christmas spice, cinnamon and mature cherry. The close is elegant and polished.",
42741,"This bright Brunello opens with medium dimension, intensity and deep layers of berry fruit, dried currants and old spice. In true Sangiovese Grosso tradition, it shows a compact, streamlined feel with crisp acidity on the close.",50.0
42743,"Aromas of bright blueberry and cherry liqueur are accented by shadings of spice, almond paste, moist tobacco and leather. Brunello Bramante also shows pretty nuances of blue violets and lavender",55.0
42940,"Fresh, informal and fun, this perky Rosso di Montalcino would pair with almost all pasta dishes topped with tomato or meat sauce. There's bright acidity here and tight berry aromatics.",20.0
42948,"Thanks to its investments in technology, Castello Banfi reliably delivers quality, especially when it comes to Sangiovese. This food-friendly expression shows bright but easy flavors of forest fruit and sour cherry.",23.0
43025,"With slightly browning color on the rim, this territory-driven Brunello opens with vertical aromas of white cherry, root beer, vanilla cream and cured meat. Drink after 2015.",67.0
43027,"Fattoi's Brunello stands out in a crowd thanks to its meaty aromas of barbecue and smoked bacon. It's an easy and intense wine with a direct, penetrating feel on the close.",62.0
43032,"Ripe fruit aromas of strawberry or raspberry marmalade distinguish this plush, modern Brunello. Those jammy fruit notes are followed by a quick succession of spice, vanilla, cinnamon and nutmeg nuances. It's a soft, silky wine with bright sweetness to the mouthfeel.",50.0
43035,"Still young and needing additional cellar time to achieve full integration, this dark, brooding Brunello opens with very masculine aromas of Spanish cedar, root beer, forest floor, dark fruit and bramble. There's still slight bitterness on the close and a firm tannic bite.",45.0
43323,"This fine and elegant Brunello is accented by plush softness and bright flavors of wild berry, raspberry and sweet almond paste. Thicker tones of espresso and chocolate appear on the close and are carried forth by the wine's velvety richness.",55.0
43326,"Here's a classic interpretation of Brunello with territory-driven aromas of forest berry, cassis, toasted almond, moist earth and blue flower. Le Bruciate does a very nice job of expressing the elegance of Sangiovese Grosso.",32.0
43339,"Toasted spice, chocolate, roasted espresso and black cherry open the bouquet of this hearty Brunello. Background tones include vanilla bean, mesquite, barbecue smoke and there's a note of smoked ham as well. Overall, the wine delivers medium intensity and a polished feel.",44.0
43343,"Drying, sharp tannins bring up the rear of Sassodisole's 2006 Brunello and indicate that the wine needs a few more years of cellar aging to soften. Aromatically, the wine oozes black fruit and cured meat.",45.0
43346,"This vintage of Antinori's Pian delle Vigne offers surprisingly mature and jammy notes of strawberry or blackberry marmalade followed by a soft, rich mouthfeel. This expression shows less elegance and finesse than past interpretations.",
43670,"Brunello Poggiotondo opens with a rich, dark appearance and bright aromas of cherry, root beer, humus and chopped mint. It's bright and clean wine in the mouth that ends with a blast of red berry fruit.",
43678,"From the uneven 2005 vintage, this bright Brunello opens with aged aromas of tar, resin, black fruit, cassis and leather. The wine's consistency and persistency are very good considering the difficulties of the year.",
43977,"Il Palazzone offers a compact, streamlined interpretation of Brunello with a bright ruby color and crispness that helps keep the palate refreshed sip after sip. It offers lingering tones of black licorice, cola, mature fruit, cassis and dried raspberry.",90.0
44259,"Here's a linear and bright Brunello that opens with simple aromas of wild berry, forest floor, wild mushroom, toasted nut and cola. There's a touch of sour cherry and astringency that will soften with time.",
44581,"Elegant but still holding back aromatically, this Brunello opens with notes of cassis and dried raspberry followed by subtle shading of spice and smoke. The mouthfeel is thin and tight but also very refreshing.",40.0
44898,"This hearty expression of Brunello opens with darkly sophisticated layers of smoked bacon, smoked bresaola and sweet black fruit or plum. Those plush, sweet flavors continue to the mouth and the wine ends with spicy, textured tannins.",45.0
44899,"This youthful Brunello offers aromas of forest berry, root beer and cedar backed by fresh acidity and firm tannins. The consistency is thinner, but the wine would pair with stewed veal or meatloaf.",48.0
45180,"Mature fruit, fine tannins and a polished feel characterize this fine Brunello. There's a hint of barrel, earth or smoked meat at the back although the finish is drying and firm.",
45200,"Brunello Assunto is a bright, balanced wine with simple aromas of wild berry, cherry and spice backed by a gritty, textured mouthfeel. The tannins are firmly tight and the crisp acidity suggest that this wine should age a few more years.",60.0
45481,"An unexpected touch of caramel butterscotch or candied fruit could indicate very mild oxidation although the jury is still out. Otherwise, the wine does a good job of presenting austere aromas of old spice, worn leather and dried fruit.",55.0
45484,"Taking a slight departure from past vintages, this 2006 Brunello from Villa Poggio Salvi offers a thinner, more compact and fresh style with slight hues of amber and brown in its color. Old spice, dried fruit and root beer aromas are matched by tight, thorny crispness.",50.0
45587,"Easy and lean, with bright berry tones of cherry and raspberry, this no-fuss Rosso di Montalcino is a perfect pairing partner to wood-oven pizza. It closes with a tight, crisp feel.",25.0
46322,"There's a muddled note at first with aromas of spice, moist earth, resin and clove. Those earthy aromas blow off fast to reveal a wine with drying mineral and cassis berry on the close.",
46679,"Distant sulfur notes take a few minutes to blow off. Once they do, the wine's bright fruit qualities come into full view. This Brunello's finish is characterized by dark extraction and smooth richness.",35.0
48366,"There's a simple aromatic generosity to this wine that comes forth in pulses of red cherry, spice, vanilla and smoke. It feels ripe and chewy in the mouth with good power of persistency and a plush, velvety texture. Pair this Brunello with roasted duck or game hen.",
48369,"Ventolaio exemplifies Brunello typicity—or the way the wine was once made before the emphasis shifted to bolder, more succulent expressions—with sharp acidity and a clean focus on fruit essence. The wine is edgy and nervous on the palate and although it's shy at first, it does come forth with aromas of red fruit and vanilla.",
48371,"Here's a Brunello with a lighter more restrained style that will prove a successful match with delicate ravioli topped with parmigiano, butter and sage. The tannins are polished and smooth and the wine offers good acidity backed by aromas of cured meat, freshly brewed tea, licorice, cherry cola and mesquite.",60.0
48374,"Initial traces of smoky sulfur need to blow off and once they do this Brunello freely exhibits tones of blackberry, prunes and smoked bacon. The wine is a tad gritty and astringent in the mouth, so give it five more years of aging to soften those tannins.",
48375,"Here's a cheerful Brunello with offbeat aromas of candied fruit, cherry liqueur and white licorice. It's a ripe and chewy wine (but not exaggeratedly so) with mature aromas of blackberry and sticky Indian spice. Fresh acidity makes the wine pop in the mouth, while releasing bursting berry overtones.",49.0
48669,"La Fornace offers a distinctive Brunello with piquant citrus aromas of orange rind and lemon blossom. There's plenty of cherry, redwood and spice at the back and the wine tastes, tight, firm and short on the close. It's an easygoing wine that would pair well with curry or tandoori chicken.",
48994,"Le Chiuse surprised us this year because this generally vibrant and lively Brunello seemed tired. With aromas of old leather, white mushroom, cedar, prunes and dried currants, it drinks well now but the jury is out on how long this wine can age. We're betting not more than two or three years.",45.0
49308,"Canneta offers distinctive aromas of smoked ham, dried sausage with fennel seed, chopped herbs, coffee bean and black fruit. The mouthfeel is raw and slightly herbaceous with some astringency on the close. This Brunello could stand up to pasta with broccoli and sausage.",
49596,"Agostina Pieri opens with notes of old leather and animal tones that eventually blow off to reveal cured ham and smoked bacon. This is a big, broad expression of Sangiovese with tart cherry flavors and slightly astringent tannins. You might want to give it a few more years of aging to mellow out but whether the aromas will hold over time is uncertain.",55.0
49860,"Lighter and more compact in appearance, this classy Brunello from Fornacina offers lively tones of Spanish cedar, spice, black fruit, prunes and earthy tones. The mouthfeel is tonic and tight and sour cherry flavors ride over firm tannins.",56.0
50174,"This wine is good but not altogether convincing. It has a raw, nervous edge with aromas of root beer, tealeaf, cherry cola and a brambly-wild berry flavor in the mouth. The texture is sharp, compact and tight and the wine leaves lingering freshness on the close.",
50485,"Complete with sediment at the bottom of the bottle, this traditional Brunello seems much older than it really is. Sangiovese Grosso tends to age quickly and this expression already shows slight browning at the edges with sober aromas of cured meat, black licorice and wet soil. Drink now.",69.0
50486,"Podere Canalino makes just over 200 cases of Brunello and offers a rustic, but genuine interpretation of the wine. There are dark, vinous aromas of black currants and red apple backed by old spice and pipe tobacco. It's slightly tart and bitter in the mouth and the tannins need a few more years to soften.",
50777,"Compared to past vintages, this Brunello underperforms mostly because of the smell of old wood or barrel that hits before any other aromas do. Once you get past it, you will find more pleasing layers of cherry and spice but the mouthfeel is relatively short and easygoing.",60.0
51082,"The Vigna del Fiore vineyard select from Fattoria dei Barbi seems stale and old and likely unable to stand up to long cellar aging. The wine sports a dark garnet color with brown reflections and aromas of natural rubber, animal fur and wet earth. Imported by Majestic Wines.",
53778,"This is a modern and sweet-smelling expression of Brunello with aromas of allspice, ground ginger and candied fruit. Beyond those aromas are layers of chocolate and soft vanilla cream. The wine has loads of personality and a great, long finish.",
53779,"Pianrosso boasts pristine and very delicate aromas of blue flowers, violets, Indian spice, chopped mint, cola, vanilla extract and bitter dark chocolate. The wine exhibits firm, dark extraction yet does not taste heavy or overripe.",
54084,"This vineyard selection offers a compact and clean aromatic package that hits all the right notes without being overdone. Blackberry, cherry, vanilla and spice chime in on the palate and help drive the wine's long, chewy finish.",
54382,"This special vineyard selection offers depth and personality in the form of black stone, granite, balsam, cola, mature blackberry and background renderings of spice and toast. It's among the most flavor-rich Brunellos of the vintage with pretty tones of cherry fruit and chewy density.",
54701,"Plump and thick aromas of black cherry and blueberry are backed by delicate nuances of red apple, tar and cola. There are pungent, balsam-like layers here that give the wine lift and buoyancy and ultimately help the wine taste refreshing and clean.",
54977,"Here's a plush, ripe and modern Brunello with big power and round opulence achieved thanks to the wine's generous notes of black fruit, spice, toast, leather and molasses. One of the best Brunellos available from the problematic 2003 vintage.",
54979,"Campo del Drago is an intense and expertly extracted wine with plush layers of cherry, spice, coffee and chocolate fudge. The mouthfeel is smooth, supple and this wine would pair with all red meat dishes.",
54980,"Poggio alle Mura, a special selection Brunello from Castello Banfi, exhibits depth, intensity and a very clean palette of aromas. There is forest berry, drying mineral, exotic spice and green curry leaf. The wine is firm and compact without being nervous or sharp.",
55285,"This is a gorgeous Brunello that proudly defies the difficulties associated with this hot vintage. The wine exhibits freshness and buoyancy in the form of crisp cherry and blueberry. It also offers deep layers of cola, coffee and mineral and although the mouthfeel is chewy, there's enough silky softness to even it out.",60.0
55286,"Crisp, well-defined fruit is counterbalanced by vanilla and spice to form a vibrant, pleasing wine. This Brunello delivers chewy tannins and a plush mouthfeel that lasts a long time. Pair it with lamb or succulent cuts of grilled meat.",
55289,"This special selection of Brunello offers more density, extraction and maturity. Immediate aromas include ripe berry, strawberry, spice and leather: The wine has opulence and sophistication and offers very chewy fruit flavors and a velvety texture.",
55566,"Ripe cherry, clove, cinnamon, leather and spice shape a well-balanced wine that exhibits both depth and complexity. Tones of prunes and dried fruit add warm accents and the wine delivers smooth but firm tannins.",
55574,"This boutique winery from Montalcino proposes a compact and traditional expression of Brunello with penetrating balsam aromas of root beer, chopped mint, white almond and plump cherry. The wine earns high points for presenting such an elegant side despite the hot year.",
55576,"Here's a vineyard-select Brunello with a thick, grainy texture and persistent aromas of blackberry, ripe cherry, bee's wax and mineral nuances. The wine has power and concentration and would pair well with lamb or roasted pork.",
55584,"Refined and austere, this mature Bunello offers dusty aromas of old spice, granite stone and dried currants. The wine offers good dimension and depth in the mouth with solid tannins that are neither grainy nor raw.",
55867,"Tenuta Vitanza has done a really nice job to create a modern wine that also embraces Brunello tradition. It exhibits a bright, vibrant color and delivers aromas of blackberry, vanilla, leather and spice. The wine is thickly extracted and inky with soft tannins on the close.",
55875,"Hats off to Mocali for achieving a balanced and fruity Brunello despite adverse climatic conditions. This vineyard designate made with specially selected fruit is an attractive, plump and succulent wine. The wine is thickly extracted and concentrated and has chewy, bright fruit flavors and a satisfying finish.",
55876,"Brownish in color and very ripe on the nose with aromas of sweet oak, vanilla extract, coffee and fruit marmalade, this richly concentrated Brunello resonates with the warmth of the 2003 vintage. It has firm, gritty tannins and would pair well with game meats.",
55880,"This wine and many like it were caught in the Brunello fraud scandal that rocked Montalcino in 2008. Whether it mirrors tradition or not, there's no doubt that this is a well-crafted wine. It opens with an inky dark color and offers aromas of red fruit, chopped herbs and spice.",
55881,"Castello Romitorio offers a unique expression of Brunello with chalky-mineral characteristics behind bursting cherry and plush fruit. The wine is compact and clean on the palate but offers solid structure, power and a flash of piquant spice on the close.",
55882,"This estate run by the Ferragamo family delivers a modern and lush expression of Brunello that is soft, velvety and chocolaty in the mouth. The fruit flavors are immediate and intense and focus primarily on blackberry and cherry.",
55883,"Good intensity and balance characterize this fresh and fruit-forward Brunello di Montalcino. Aromas include espresso bean, vanilla extract, allspice and ground clove. The wine is firm and penetrating and boasts a long-lasting finish.",
56111,"Harmony and intensity work hand in hand to shape a powerful Brunello with layered nuances and depth. Ripe aromas include dried fruit, plum, prunes, toasted nut, vanilla and spice. You'll also get soft chocolate and coffee-like flavors.",
56121,"There's a pretty mineral component that adds definition and dimension to this wine. Aromas include slate roof and lead pencil followed by forest berry and blackberry. In all, this wine offers an attractive combination of complexity and concentration.",
56406,"Vigna del Fiore is a dark and impenetrable wine with lavish aromas of roasted coffee bean, toasted oak, vanilla and spice. The oak element is very apparent and the wine offers smooth, velvety tannins with plush chocolate softness.",
56410,"Thick concentration and a luminous, saturated color segue to aromas of blackberry preserves, cola and black slate. The wine offers concentration and power with cherry flavors, pulpy tannins and a chewy mouthfeel.",
56413,"Decisive notes of mineral and cherry cola distinguish this ruby-colored Brunello and give it an elegant, linear personality. The wine offers cool freshness and bright cherry nuances on the close.",
56429,Here's a wine that would pair beautifully with rosemary-marinated lamb or succulent pork tenderloin. It offers balanced aromas of fresh berry fruit versus oak-driven spice and ends with plush tannins and a silky mouthfeel.,
56674,"Altesino delivers a unique Brunello with distinctive notes of mature berry, candied fruit, raisins and prunes. You can feel the heat of the hot vintage thanks to the wine's chewy tannins and bursting cherry flavors.",
56681,"The wine opens with dark concentration and color and segues to notes of black currants, dark cherry, plum and prunes. The quality of the fruit has been well preserved here, compared to other Brunello from this hot vintage. In fact, the wine delivers its best qualities on the nose: firm, tense tannins dominate the mouth.",
56687,Depth and persistency are what sets this wine apart. The mouthfeel is densely extracted and accented by fresh fruit flavors and aromas of clove and spice. The wine has muscle and great staying power and can age a few years longer in your cellar.,
56692,"Coldisole's bright, ruby-colored Brunello delivers chewy fruit nuances backed by fresh aromas of cherry, blueberry and plum. The wine's texture is grainy but firm and would pair well with roasted duck or quail.",
56695,"Loaded with bold, ripe fruit, exotic spice and leather, this is a simple but genuine expression of Brunello di Montalcino. The wine tastes thick and a bit chunky in the mouth because of its chewy, succulent tannins.",
